Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2009,MT,-7727881.6,24.062808219178084,-9986.124657534247,-858.320993150685,25.7,-9999.0,-869.2340410958905,26.3,-9999.0,-8544.217089041096,6.9
2010,MT,-26986244.6,-2296.2686301369863,-8298.28310502283,-2974.265502283105,25.9,-9999.0,-2975.9207534246575,26.3,-9999.0,-7428.518904109589,6.8
2011,MT,-42665312.2,-4498.643447488585,-7023.313470319635,-4856.835308219178,24.1,-9999.0,-4862.879851598173,25.9,-9999.0,-4873.906780821918,7.4
2012,MT,-58498.2,913.1506944444444,-4147.30737704918,21.982616120218577,24.8,-9999.0,20.25900500910747,25.6,-9999.0,-8.009005009107467,8.4
2013,MT,-218713.8,959.5565182648402,-4208.905707762557,3.4307648401826483,25.2,-9999.0,2.8614041095890412,25.8,-9999.0,-18.277351598173517,6.8
2014,MT,-6307667.4,-3651.474223744292,-4436.938584474886,-695.5049771689497,24.4,-9999.0,-723.524805936073,25.6,-9999.0,-753.7302853881279,6.8
2015,MT,-9318151.8,-340.4822831050228,-4239.562557077626,24.964851598173517,24.7,-9999.0,22.051118721461187,25.9,-9999.0,-1.2853881278538815,7.2
2016,MT,-9857546.2,-247.68805783242257,-4829.757741347906,-1099.1613729508197,25.6,-9999.0,-1108.8202982695811,26.2,-9999.0,-1129.814993169399,6.3
2017,MT,-10167999.4,-290.31520547945206,-5149.651712328767,-1403.8893949771689,24.9,-9999.0,-1428.4620662100456,26.1,-9999.0,-1191.3481392694064,7.0
2018,MT,-5997983.8,232.72631278538813,-4688.007534246575,-660.5404680365297,24.8,-9999.0,-661.112100456621,25.7,-9999.0,-684.3919748858448,4.9
2019,MT,1081.8,986.4683076923077,1006.037134502924,27.365117408906883,25.9,11.5,26.778251012145752,27.0,1.6,4.361882391057833,7.3
2020,MT,977.8,990.8064229825997,,28.58174705126708,25.1,11.8,27.92102067032582,25.2,-0.8,4.251103585192105,8.0
2021,MT,1114.2,990.989269871718,,27.779187147824004,24.0,8.5,27.13489989209927,25.7,-4.7,4.219829756623906,8.4
2022,MT,819.2,990.9639495456395,,27.39024820290248,24.8,10.6,26.710500544069642,25.3,0.5,4.212754728045741,5.6
2023,MT,1012.8,990.9237603051557,,28.59945859480743,24.3,10.2,27.9351434552395,24.9,2.9,4.448413192283758,8.6
2003,PR,-61693625.0,-7394.649925962488,-8655.569225074038,-7608.685463968411,19.0,-9999.0,-7610.038622902271,19.0,-9999.0,-7612.922013820335,8.0
2004,PR,-87831216.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2005,PR,-45164553.0,-4713.075799086758,-7214.953652968036,-5148.084817351598,20.0,-9999.0,-5150.601598173516,20.0,-9999.0,-9949.8950913242,4.0
2006,PR,-22537088.0,-1841.007420091324,-5564.148515981735,-2510.883105022831,21.0,-9999.0,-2512.4070776255708,22.0,-9999.0,-2572.3606164383564,9.0
2007,PR,-8517963.0,-148.51301369863015,-4483.974543378996,-955.6843607305937,21.0,-9999.0,-957.2948630136987,21.0,-9999.0,-971.1278538812785,10.0
2008,PR,-9267793.0,-238.99237249544626,-4616.413023679417,-1039.7069672131147,20.0,-9999.0,-1076.6503870673953,21.0,-9999.0,-1105.0343806921676,9.0
2009,PR,-26936590.0,-2443.6092465753422,-4940.014611872146,-3061.709703196347,22.0,-9999.0,-3112.4698630136986,22.0,-9999.0,-3164.9276255707764,9.0
2010,PR,-22056803.0,-1835.769406392694,-4704.88299086758,-2503.9986301369863,23.0,-9999.0,-2512.463584474886,24.0,-9999.0,-2539.0357305936072,8.0
