Rok,Stan,Total_Precipitation,Atmospheric_Pressure_Station,Global_Radiation,Air_Temperature,Max_Air_Temperature,Min_Air_Temperature,Relative_Humidity,Max_Relative_Humidity,Min_Relative_Humidity,Hourly_Wind_Speed,Max_Wind_Gust
2011,DF,1457.0,886.48,828.84,21.06,19.9,11.2,20.4,20.8,0.0,5.44,8.0
2012,DF,1307.4,887.09,832.64,21.29,20.7,12.1,20.62,21.6,0.0,5.36,7.4
2013,DF,1595.4,886.95,812.59,21.27,20.5,11.8,20.62,21.3,0.0,5.31,10.4
2014,DF,1474.8,887.45,844.79,21.37,20.9,11.6,20.69,21.7,0.1,5.03,8.4
2016,DF,1140.8,887.8,846.84,22.04,22.1,9.9,21.34,22.6,0.7,5.27,7.7
2017,DF,1292.0,887.71,844.07,21.47,20.0,10.4,20.8,21.2,0.0,5.41,9.1
2018,DF,1702.0,887.57,829.22,21.26,20.8,10.9,20.59,21.4,0.1,5.03,7.1
2020,DF,1576.6,887.67,52.0,21.35,21.0,9.4,20.68,21.9,0.1,5.14,7.1
2021,DF,2023.2,887.21,52.0,21.22,20.8,8.6,20.52,21.2,0.0,4.86,7.0
2022,DF,1356.4,887.16,52.0,21.25,20.1,6.0,20.53,21.3,0.0,5.21,8.1
2023,DF,996.0,887.62,52.0,21.96,21.5,10.7,21.21,22.3,0.0,4.79,7.7
2001,MS,778.0,950.82,839.8,23.98,23.3,7.4,23.38,24.1,0.0,5.98,10.8
2002,MS,1028.5,952.55,831.16,24.52,24.0,4.5,23.87,24.1,0.0,6.73,11.0
2003,MS,1236.2,953.05,622.67,23.38,23.7,6.4,24.2,24.2,0.1,8.2,9.9
2004,MS,1259.9,952.75,816.79,23.35,23.4,4.5,22.7,24.0,0.0,6.42,12.9
2005,MS,1555.4,952.54,798.31,23.49,23.8,5.7,22.87,24.1,0.0,6.45,12.6
2006,MS,1290.8,952.81,797.49,23.52,24.1,5.3,22.86,24.6,0.4,6.27,11.7
2007,MS,1404.1,952.71,736.65,23.42,24.2,5.6,22.6,25.1,0.0,6.31,12.5
2008,MS,1300.4,952.51,788.7,23.42,23.6,7.5,22.75,24.2,0.0,6.26,11.1
2009,MS,1772.2,952.41,771.03,23.46,23.8,5.1,22.83,24.6,0.3,6.25,11.5
2010,MS,1238.8,952.55,844.97,23.71,23.9,6.8,23.04,24.9,0.3,6.65,12.1
2011,MS,832.4,951.97,618.65,23.11,23.5,4.3,22.54,24.4,0.0,5.6,12.6
2012,MS,1659.6,952.82,807.77,24.0,25.4,7.3,23.27,28.7,0.0,6.21,11.2
2013,MS,1741.4,952.92,806.85,23.47,23.7,5.1,22.77,24.6,0.0,6.27,11.8
2014,MS,1523.8,953.22,774.8,23.86,23.7,8.2,23.17,24.4,1.6,6.29,12.5
2015,MS,1513.0,953.17,770.33,24.29,23.9,9.1,23.62,24.5,2.6,6.16,10.1
2016,MS,1590.6,953.59,767.22,23.51,31.0,6.4,22.84,31.1,0.0,6.21,12.1
